category,avg_price
SteamVR Collectibles,16.17125
Valve Anti-Cheat enabled,12.12404255319149
Steam Workshop,10.493132664436919
VR Support,8.962640692640695
Online Co-op,8.943809523809454
Co-op,8.627931435212039
Steam Cloud,8.453888888888876
Multi-player,8.310765164863062
Includes level editor,8.245936293436204
Online Multi-Player,8.014251810136725
linux,8.0
mac,8.0
windows,8.0
Full controller support,7.967653670530619
Local Co-op,7.786864966949892
Local Multi-Player,7.668408668730587
Steam Turn Notifications,7.631111111111113
Shared/Split Screen,7.5472072490706035
Steam Trading Cards,7.474644436023602
Captions available,6.870249653259309
Steam Achievements,6.7468752211761736
Steam Leaderboards,6.695732984293273
Partial Controller Support,6.6543079829949106
Stats,6.381288604898781
Cross-Platform Multiplayer,6.358751156336655
Single-player,6.090946761693557
Commentary available,5.370972222222226
In-App Purchases,4.19804063860667
MMO,3.8660807600950133
Includes Source SDK,3.6885714285714277
Mods (require HL2),0.0
Mods,0.0
0,
