genre,count
Indie,19419
Action,11903
Casual,10210
Adventure,10031
Strategy,5246
Simulation,5194
RPG,4310
Early Access,2954
Free to Play,1704
Sports,1322
Racing,1024
Violent,843
Massively Multiplayer,723
Gore,537
Nudity,266
Sexual Content,245
Utilities,146
Design & Illustration,87
Animation & Modeling,79
Education,51
Video Production,38
Software Training,31
Audio Production,29
Web Publishing,28
Game Development,17
Photo Editing,12
Accounting,6
0,1
Steam Cloud,1
Documentary,1
Full controller support,1
Single-player,1
Steam Achievements,1
Tutorial,1
Steam Leaderboards,1
